Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
884069,"Entombed (Alexandra Cooper, #7)",Linda Fairstein,"Fairstein, Linda",,"=""0743254880""","=""9780743254885""",0,3.89,Scribner Book Company,Hardcover,400,2005,2005,,2015/10/24,"to-read, my-books","to-read (#613), my-books (#307)",to-read,,,,,,,0,,,,,
6283048,Ice,Linda Howard,"Howard, Linda",,"=""0345517199""","=""9780345517197""",0,3.38,Ballantine Books,Hardcover,208,2009,2011,,2015/10/24,"to-read, my-books","to-read (#612), my-books (#306)",to-read,,,,,,,0,,,,,
246273,"Death Dance (Alexandra Cooper, #8)",Linda Fairstein,"Fairstein, Linda",,"=""074348228X""","=""9780743482288""",0,3.81,Pocket Books,Paperback,512,2007,2006,,2015/10/24,"to-read, my-books","to-read (#611), my-books (#305)",to-read,,,,,,,0,,,,,
7683406,Damaged (Kate Lange #1),Pamela Callow,"Callow, Pamela",,"=""0778327507""","=""9780778327509""",0,3.77,Mira,Paperback,453,2010,2010,,2015/10/24,"to-read, my-books","to-read (#610), my-books (#304)",to-read,,,,,,,0,,,,,
536842,"L.A. Requiem (Elvis Cole, #8)",Robert Crais,"Crais, Robert",,"=""0345434471""","=""9780345434470""",0,4.25,Ballantine Books,Paperback,416,2000,1999,,2015/10/24,"to-read, my-books","to-read (#609), my-books (#303)",to-read,,,,,,,0,,,,,
205902,If It Bleeds,Bonnie Hearn Hill,"Hill, Bonnie Hearn",,"=""0778323390""","=""9780778323396""",0,3.42,Mira Books,Paperback,373,2006,2004,,2015/10/24,"to-read, my-books","to-read (#608), my-books (#302)",to-read,,,,,,,0,,,,,
205903,Cutline,Bonnie Hearn Hill,"Hill, Bonnie Hearn",,"=""0778323471""","=""9780778323471""",0,3.45,Mira Books,Paperback,376,2006,2006,,2015/10/24,"to-read, my-books","to-read (#607), my-books (#301)",to-read,,,,,,,0,,,,,
205901,Off the Record,Bonnie Hearn Hill,"Hill, Bonnie Hearn",,"=""0778323579""","=""9780778323570""",0,3.78,Mira Books,Paperback,379,2006,2006,,2015/10/24,"to-read, my-books","to-read (#606), my-books (#300)",to-read,,,,,,,0,,,,,
1744029,"The Overlook (Harry Bosch, #13)",Michael Connelly,"Connelly, Michael",,"=""0446401307""","=""9780446401302""",0,3.86,Vision,Paperback,304,2008,2000,,2015/10/24,"to-read, my-books","to-read (#605), my-books (#299)",to-read,,,,,,,0,,,,,
23848247,Home Is Burning: A Memoir,Dan Marshall,"Marshall, Dan",,"=""1250068827""","=""9781250068828""",0,4.08,Flatiron Books,Hardcover,320,2015,2015,,2015/10/10,to-read,to-read (#604),to-read,,,,,,,0,,,,,
25111334,Dark Corners,Ruth Rendell,"Rendell, Ruth",,"=""1501119427""","=""9781501119422""",0,3.54,Scribner,Hardcover,240,2015,2015,,2015/10/03,to-read,to-read (#603),to-read,,,,,,,0,,,,,
24819490,Foolproof: Why Safety Can Be Dangerous and How Danger Makes Us Safe,Greg Ip,"Ip, Greg",,"=""0316286044""","=""9780316286046""",0,4.44,"Little, Brown and Company",Hardcover,336,2015,2015,,2015/10/03,to-read,to-read (#602),to-read,,,,,,,0,,,,,
22535480,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,"Vance, Ashlee",,"=""0062301268""","=""9780062301260""",0,4.19,Ecco,ebook,400,2015,2015,,2015/09/28,to-read,to-read (#601),to-read,,,,,,,0,,,,,
12476820,"Partials (Partials Sequence, #1)",Dan Wells,"Wells, Dan",,"=""0062071041""","=""9780062071040""",0,3.95,Balzer + Bray,Hardcover,468,2012,2012,,2015/09/28,to-read,to-read (#600),to-read,,,,,,,0,,,,,
39999,The Boy in the Striped Pajamas,John Boyne,"Boyne, John",,"=""0385751060""","=""9780385751063""",0,4.06,David Fickling Books,Hardcover,224,2006,2006,,2015/09/27,to-read,to-read (#599),to-read,,,,,,,0,,,,,
